userid,type1_rate,type0_rate
100000000013,0.7777777777777778,0.2222222222222222
100000000111,0.8518518518518519,0.14814814814814814
100000000127,0.88,0.12
100000000231,0.7857142857142857,0.21428571428571427
100000000379,0.4230769230769231,0.5769230769230769
100000000393,1.0,0.0
100000000423,0.9166666666666666,0.08333333333333333
100000000459,0.9047619047619048,0.09523809523809523
100000000465,0.875,0.125
100000000471,0.9523809523809523,0.047619047619047616
100000000637,0.9565217391304348,0.043478260869565216
100000000695,0.8148148148148148,0.18518518518518517
100000000745,0.875,0.125
100000000755,0.8461538461538461,0.15384615384615385
100000000867,0.46153846153846156,0.5384615384615384
100000000949,0.7777777777777778,0.2222222222222222
100000000975,0.8148148148148148,0.18518518518518517
100000001023,0.8,0.2
100000001195,0.8461538461538461,0.15384615384615385
100000001231,0.84,0.16
100000001295,0.92,0.08
100000001343,0.9583333333333334,0.041666666666666664
100000001505,0.8,0.2
100000001557,0.8518518518518519,0.14814814814814814
100000001683,0.9259259259259259,0.07407407407407407
100000001711,0.875,0.125
100000001803,0.8461538461538461,0.15384615384615385
100000001955,0.8636363636363636,0.13636363636363635
100000001963,0.8518518518518519,0.14814814814814814
100000002111,0.8518518518518519,0.14814814814814814
100000002165,0.9615384615384616,0.038461538461538464
100000002179,0.8518518518518519,0.14814814814814814
100000002199,0.9166666666666666,0.08333333333333333
100000002215,0.5652173913043478,0.43478260869565216
100000002243,0.9583333333333334,0.041666666666666664
100000002245,0.8461538461538461,0.15384615384615385
100000002271,0.375,0.625
100000002307,0.8518518518518519,0.14814814814814814
100000002363,0.5652173913043478,0.43478260869565216
100000002371,0.92,0.08
100000002535,0.7857142857142857,0.21428571428571427
100000002581,0.8461538461538461,0.15384615384615385
100000002653,0.9130434782608695,0.08695652173913043
100000002811,0.782608695652174,0.21739130434782608
100000002873,1.0,0.0
100000002879,0.8695652173913043,0.13043478260869565
100000003091,0.8888888888888888,0.1111111111111111
100000003097,0.9047619047619048,0.09523809523809523
100000003311,0.9130434782608695,0.08695652173913043
100000003461,0.47619047619047616,0.5238095238095238
100000003483,0.875,0.125
100000003559,0.9615384615384616,0.038461538461538464
100000003611,0.8888888888888888,0.1111111111111111
100000003639,0.9473684210526315,0.05263157894736842
100000003685,0.9166666666666666,0.08333333333333333
100000003805,0.76,0.24
100000003875,0.88,0.12
100000003891,0.875,0.125
100000003941,0.8461538461538461,0.15384615384615385
100000004163,0.8,0.2
100000004223,0.9615384615384616,0.038461538461538464
100000004277,0.7272727272727273,0.2727272727272727
100000004297,0.88,0.12
100000004303,0.9230769230769231,0.07692307692307693
100000004317,1.0,0.0
100000004319,0.8076923076923077,0.19230769230769232
100000004359,0.8518518518518519,0.14814814814814814
100000004429,0.75,0.25
100000004453,0.8518518518518519,0.14814814814814814
100000004529,0.8518518518518519,0.14814814814814814
100000004867,0.875,0.125
100000005007,0.0,1.0
100000005091,0.8518518518518519,0.14814814814814814
100000005125,1.0,0.0
100000005513,0.8518518518518519,0.14814814814814814
100000005649,0.8888888888888888,0.1111111111111111
100000005719,0.9629629629629629,0.037037037037037035
100000005739,0.8260869565217391,0.17391304347826086
100000005755,0.8518518518518519,0.14814814814814814
100000005805,0.8461538461538461,0.15384615384615385
100000005955,0.8461538461538461,0.15384615384615385
100000006005,0.8518518518518519,0.14814814814814814
100000006013,0.782608695652174,0.21739130434782608
100000006081,0.9583333333333334,0.041666666666666664
100000006123,0.8518518518518519,0.14814814814814814
100000006395,0.8076923076923077,0.19230769230769232
100000006487,1.0,0.0
100000006539,0.8888888888888888,0.1111111111111111
100000006569,0.8518518518518519,0.14814814814814814
100000006605,0.8461538461538461,0.15384615384615385
100000006647,0.9130434782608695,0.08695652173913043
100000006857,0.5652173913043478,0.43478260869565216
100000006933,0.8518518518518519,0.14814814814814814
100000006981,0.9047619047619048,0.09523809523809523
100000007073,0.8518518518518519,0.14814814814814814
100000007079,0.9583333333333334,0.041666666666666664
100000007283,0.8518518518518519,0.14814814814814814
100000007329,0.8518518518518519,0.14814814814814814
100000007367,0.9130434782608695,0.08695652173913043
100000007409,0.9166666666666666,0.08333333333333333
100000007457,0.8518518518518519,0.14814814814814814
100000007533,0.8518518518518519,0.14814814814814814
100000007609,0.875,0.125
100000007639,0.8518518518518519,0.14814814814814814
100000007745,0.84,0.16
100000007753,0.8518518518518519,0.14814814814814814
100000007785,0.9166666666666666,0.08333333333333333
100000008119,0.0,1.0
100000008253,0.8695652173913043,0.13043478260869565
100000008425,0.6153846153846154,0.38461538461538464
100000008481,0.8518518518518519,0.14814814814814814
100000008483,0.875,0.125
100000008529,0.8695652173913043,0.13043478260869565
100000008565,0.8461538461538461,0.15384615384615385
100000008995,0.7777777777777778,0.2222222222222222
100000009017,0.04,0.96
100000009249,0.8518518518518519,0.14814814814814814
100000009417,0.8518518518518519,0.14814814814814814
100000009463,0.9047619047619048,0.09523809523809523
100000009481,0.8518518518518519,0.14814814814814814
100000009491,1.0,0.0
100000009583,0.9545454545454546,0.045454545454545456
100000009611,0.7777777777777778,0.2222222222222222
100000009743,0.7857142857142857,0.21428571428571427
100000009771,0.9615384615384616,0.038461538461538464
100000009773,0.2692307692307692,0.7307692307692307
100000009807,0.8095238095238095,0.19047619047619047
100000009925,0.0,1.0
100000010101,0.46153846153846156,0.5384615384615384
100000010161,0.8636363636363636,0.13636363636363635
100000010177,0.9166666666666666,0.08333333333333333
100000010199,0.76,0.24
100000010239,0.875,0.125
100000010247,0.875,0.125
100000010249,0.5217391304347826,0.4782608695652174
100000010279,0.8518518518518519,0.14814814814814814
100000010287,0.42105263157894735,0.5789473684210527
100000010293,0.8518518518518519,0.14814814814814814
100000010297,0.8518518518518519,0.14814814814814814
100000011105,0.8518518518518519,0.14814814814814814
100000011131,0.875,0.125
100000011325,0.9130434782608695,0.08695652173913043
100000011427,0.875,0.125
100000011573,0.9259259259259259,0.07407407407407407
100000011591,0.875,0.125
100000011653,0.875,0.125
100000011741,1.0,0.0
100000011755,0.8518518518518519,0.14814814814814814
100000011763,0.9565217391304348,0.043478260869565216
100000011845,0.9166666666666666,0.08333333333333333
100000011933,0.9444444444444444,0.05555555555555555
100000012027,0.9615384615384616,0.038461538461538464
100000012133,0.875,0.125
100000012137,0.7,0.3
100000012213,0.9130434782608695,0.08695652173913043
100000012219,0.875,0.125
100000012235,0.9615384615384616,0.038461538461538464
100000012277,0.8518518518518519,0.14814814814814814
100000012341,0.92,0.08
100000012367,0.88,0.12
100000012405,0.8518518518518519,0.14814814814814814
100000012441,0.5652173913043478,0.43478260869565216
100000012507,0.88,0.12
100000012713,0.8518518518518519,0.14814814814814814
100000012715,0.84,0.16
100000012717,0.88,0.12
100000012719,0.8076923076923077,0.19230769230769232
100000012793,0.8518518518518519,0.14814814814814814
100000012867,0.8518518518518519,0.14814814814814814
100000012885,0.8461538461538461,0.15384615384615385
100000012889,0.92,0.08
100000012931,1.0,0.0
100000012965,0.8636363636363636,0.13636363636363635
100000012981,0.8518518518518519,0.14814814814814814
100000013027,0.8518518518518519,0.14814814814814814
100000013381,0.84,0.16
100000013429,0.8518518518518519,0.14814814814814814
100000013461,0.9629629629629629,0.037037037037037035
100000013471,0.9090909090909091,0.09090909090909091
100000013499,0.9523809523809523,0.047619047619047616
100000013669,0.8461538461538461,0.15384615384615385
100000013673,0.9565217391304348,0.043478260869565216
100000013837,1.0,0.0
100000013965,1.0,0.0
100000014029,0.0,1.0
100000014143,0.88,0.12
100000014259,0.9047619047619048,0.09523809523809523
100000014271,0.8148148148148148,0.18518518518518517
100000014311,0.4230769230769231,0.5769230769230769
100000014315,0.8076923076923077,0.19230769230769232
100000014383,0.9047619047619048,0.09523809523809523
100000014421,0.5833333333333334,0.4166666666666667
100000014423,0.875,0.125
100000014449,0.8518518518518519,0.14814814814814814
100000014641,0.8461538461538461,0.15384615384615385
100000014679,0.84,0.16
100000014745,0.875,0.125
100000014865,1.0,0.0
100000014899,1.0,0.0
100000014949,0.5652173913043478,0.43478260869565216
100000014973,0.84,0.16
100000014981,0.92,0.08
100000015043,0.8518518518518519,0.14814814814814814
100000015129,0.9166666666666666,0.08333333333333333
