userid,Type1_last1_day,Type2_last1_day,Type3_last1_day,Type4_last1_day,Type5_last1_day,Type6_last1_day,Type7_last1_day,Type8_last1_day,Type9_last1_day
100000000013,0,0,0,0,0,1,0,0,0
100000000111,1,0,0,0,1,1,0,0,0
100000000127,0,0,0,0,0,0,1,0,0
100000000231,2,5,2,3,2,2,0,0,0
100000000379,1,0,0,0,0,0,0,0,0
100000000393,1,0,0,0,2,1,0,0,0
100000000423,12,0,0,1,3,0,0,0,0
100000000459,1,0,0,0,3,3,0,0,0
100000000465,1,0,0,0,0,0,0,0,0
100000000471,2,0,3,0,2,2,0,0,0
100000000637,5,0,0,0,5,2,0,0,0
100000000695,2,1,0,4,4,3,1,0,0
100000000745,1,0,0,0,0,0,0,0,0
100000000755,1,0,0,0,1,0,0,0,0
100000000867,1,2,0,0,2,2,2,0,0
100000000949,1,1,1,0,3,3,1,0,0
100000000975,3,1,0,2,2,3,0,0,0
100000001023,15,2,0,0,4,7,2,0,0
100000001195,0,0,0,0,1,0,0,0,0
100000001231,1,0,0,0,1,1,0,0,0
100000001295,1,0,0,0,2,2,1,0,0
100000001343,4,0,0,0,3,4,1,2,1
100000001505,1,0,0,0,1,1,1,0,0
100000001557,3,0,0,0,3,2,0,0,0
100000001683,2,1,0,0,1,1,1,0,0
100000001711,0,0,0,0,2,0,0,0,0
100000001803,1,0,0,0,1,0,0,0,0
100000001955,2,0,0,0,1,1,1,0,0
100000001963,1,0,0,0,2,1,0,0,0
100000002111,1,0,0,0,2,4,0,0,0
100000002165,1,0,0,0,0,0,0,0,0
100000002179,2,0,0,0,1,0,0,0,0
100000002199,1,0,0,0,1,1,0,0,0
100000002215,1,1,0,0,7,3,1,0,0
100000002243,1,0,0,0,2,0,0,0,0
100000002245,1,0,0,0,0,0,0,0,0
100000002271,1,0,2,1,1,0,0,0,0
100000002307,1,0,0,0,0,0,0,0,0
100000002363,1,0,0,0,0,0,0,0,0
100000002371,1,0,0,0,2,1,1,0,0
100000002535,1,0,0,1,0,0,0,0,0
100000002581,0,0,0,0,1,0,0,0,0
100000002653,0,0,0,0,1,0,0,0,0
100000002811,1,0,0,0,0,0,0,0,0
100000002873,0,1,0,0,1,0,0,0,0
100000002879,1,0,0,0,1,1,1,0,0
100000003091,1,0,0,0,1,2,0,0,0
100000003097,1,0,0,0,1,1,0,0,0
100000003311,1,0,0,0,0,0,0,0,0
100000003461,1,0,1,1,3,1,0,0,0
100000003483,1,0,0,0,1,0,0,0,0
100000003559,1,0,0,0,0,0,0,0,0
100000003611,2,0,0,0,2,3,0,0,0
100000003639,1,0,0,0,2,2,2,0,0
100000003685,1,1,1,0,2,2,0,0,0
100000003805,3,0,0,0,3,2,2,0,0
100000003875,0,0,0,0,0,0,1,0,0
100000003891,1,0,0,0,2,0,0,0,0
100000003941,1,0,0,0,0,0,0,0,0
100000004163,1,1,1,1,0,0,0,0,0
100000004223,1,0,0,0,0,0,0,0,0
100000004277,1,1,0,0,1,1,1,0,0
100000004297,0,0,0,0,3,3,0,0,0
100000004303,0,0,0,0,0,1,0,0,0
100000004317,1,0,0,0,1,1,0,0,0
100000004319,2,0,0,0,3,1,1,0,0
100000004359,0,0,0,0,1,1,0,0,0
100000004429,1,0,0,0,2,0,0,0,0
100000004453,1,0,0,0,0,0,0,0,0
100000004529,1,0,0,0,1,0,0,0,0
100000004867,1,0,0,0,0,0,0,0,0
100000005007,1,0,0,0,1,0,0,0,0
100000005091,1,0,0,0,1,0,0,0,0
100000005125,4,0,0,0,3,0,0,0,0
100000005513,1,0,0,0,1,0,0,0,0
100000005649,1,0,0,0,4,5,0,0,0
100000005719,0,0,0,0,1,0,0,0,0
100000005739,2,0,0,0,2,1,1,0,0
100000005755,1,0,0,0,2,0,0,0,0
100000005805,1,0,0,0,1,0,0,0,0
100000005955,1,0,0,0,0,0,0,0,0
100000006005,2,0,0,0,4,1,0,0,0
100000006013,5,0,1,0,4,2,1,0,0
100000006081,2,0,0,0,2,1,1,0,0
100000006123,2,0,0,0,6,1,0,0,0
100000006395,1,0,0,0,2,2,1,0,0
100000006487,1,0,0,0,0,0,0,0,0
100000006539,1,0,0,0,3,3,0,0,0
100000006569,1,0,0,0,3,1,0,0,0
100000006605,1,0,0,0,3,1,1,0,0
100000006647,1,0,0,0,1,1,0,0,0
100000006857,1,0,0,0,0,0,0,0,0
100000006933,1,0,0,0,12,1,0,0,0
100000006981,1,0,0,0,1,2,0,0,0
100000007073,1,0,0,0,2,2,0,0,0
100000007079,2,0,0,0,3,1,1,0,0
100000007283,1,0,0,0,3,1,0,0,0
100000007329,1,0,0,0,1,1,0,0,0
100000007367,0,0,0,0,2,0,0,0,0
100000007409,1,1,4,4,2,0,0,0,0
100000007457,2,0,0,0,1,1,0,0,0
100000007533,2,0,0,0,2,1,0,0,0
100000007609,2,0,0,0,0,0,0,0,0
100000007639,1,0,0,0,0,0,0,0,0
100000007745,0,0,0,0,0,0,1,0,0
100000007753,1,0,0,0,4,1,0,0,0
100000007785,1,0,0,0,0,0,0,0,0
100000008119,1,0,0,0,1,1,0,0,0
100000008253,1,2,0,0,6,3,1,0,0
100000008425,5,5,34,1,25,13,2,0,0
100000008481,1,0,0,0,2,1,0,0,0
100000008483,1,0,0,0,2,1,0,0,0
100000008529,1,0,0,0,0,0,0,0,0
100000008565,1,0,0,0,0,0,0,0,0
100000008995,1,0,1,0,4,2,1,0,0
100000009017,0,0,0,0,1,1,0,0,0
100000009249,0,0,0,0,1,2,0,0,0
100000009417,0,0,0,0,1,0,0,0,0
100000009463,3,0,0,0,4,2,0,0,0
100000009481,3,0,0,0,6,10,0,0,0
100000009491,1,0,0,0,1,1,1,0,0
100000009583,0,0,0,0,2,0,0,0,0
100000009611,1,0,0,0,5,2,1,0,0
100000009743,1,0,1,0,1,1,0,0,0
100000009771,1,0,0,0,0,0,0,0,0
100000009773,1,1,0,0,1,1,1,0,0
100000009807,2,0,0,0,1,0,0,0,0
100000009925,6,3,4,0,6,7,4,0,0
100000010101,1,0,0,0,5,7,2,0,0
100000010161,0,0,0,0,1,1,0,0,0
100000010177,13,0,0,0,0,0,0,0,0
100000010199,2,1,1,0,2,2,2,0,0
100000010239,1,0,0,0,0,0,0,0,0
100000010247,1,0,0,0,1,0,0,0,0
100000010249,1,0,0,0,1,3,0,0,0
100000010279,1,0,0,0,2,1,0,0,0
100000010287,1,0,0,11,12,0,1,0,0
100000010293,1,0,0,0,1,1,0,0,0
100000010297,1,0,0,0,6,2,0,0,0
100000011105,2,0,0,0,1,0,0,0,0
100000011131,2,0,0,0,11,8,0,0,0
100000011325,1,0,0,0,29,20,0,0,0
100000011427,1,0,0,0,1,0,0,0,0
100000011573,3,1,0,0,2,2,1,0,0
100000011591,1,0,0,0,1,2,0,0,0
100000011653,1,0,0,0,0,0,0,0,0
100000011741,1,0,1,0,0,0,0,0,0
100000011755,2,0,0,0,4,3,0,0,0
100000011763,1,0,0,0,12,3,2,0,0
100000011845,0,0,0,0,2,0,0,0,0
100000011933,1,0,0,0,1,1,0,0,0
100000012027,1,0,0,0,0,0,0,0,0
100000012133,1,0,0,0,0,0,0,0,0
100000012137,1,3,0,4,5,0,0,0,0
100000012213,1,0,0,0,9,5,0,0,0
100000012219,1,0,0,0,1,2,0,0,0
100000012235,1,0,0,0,0,0,0,0,0
100000012277,1,0,0,0,1,1,0,0,0
100000012341,1,0,0,0,1,1,1,0,0
100000012367,1,0,0,0,1,1,0,0,0
100000012405,1,0,0,0,1,1,0,0,0
100000012441,1,0,0,0,1,1,0,0,0
100000012507,1,0,0,0,0,0,0,0,0
100000012713,1,0,0,0,0,0,0,0,0
100000012715,1,0,0,0,2,2,0,0,0
100000012717,1,0,0,0,19,12,0,0,0
100000012719,2,0,0,0,5,4,1,0,0
100000012793,1,0,0,0,2,2,0,0,0
100000012867,2,0,0,0,1,1,0,0,0
100000012885,2,0,0,0,1,0,0,0,0
100000012889,1,0,0,0,2,2,1,0,0
100000012931,0,0,0,0,2,1,1,0,0
100000012965,2,0,1,1,4,2,1,0,0
100000012981,1,0,0,0,2,2,0,0,0
100000013027,1,0,0,0,0,0,0,0,0
100000013381,1,0,0,0,2,1,0,0,0
100000013429,2,0,0,0,1,1,0,0,0
100000013461,0,0,0,0,3,0,0,1,0
100000013471,1,0,0,0,1,3,1,0,0
100000013499,3,0,0,0,3,3,0,0,0
100000013669,0,0,0,0,6,0,0,0,0
100000013673,1,0,0,0,3,1,1,0,0
100000013837,0,0,0,0,3,3,2,0,0
100000013965,1,0,0,0,2,3,0,0,0
100000014029,3,0,0,0,1,1,0,0,0
100000014143,1,0,0,0,1,1,0,0,0
100000014259,1,0,0,0,2,1,0,0,0
100000014271,1,0,0,0,1,1,1,0,0
100000014311,1,0,0,0,0,0,0,0,0
100000014315,2,0,0,0,4,6,1,0,0
100000014383,1,0,0,0,2,1,0,0,0
100000014421,3,0,0,0,4,4,3,0,0
100000014423,2,0,0,0,1,1,0,0,0
100000014449,1,0,0,0,1,0,0,0,0
100000014641,1,0,0,0,0,0,0,0,0
100000014679,1,0,0,0,4,1,0,0,0
100000014745,1,0,0,0,0,0,0,0,0
100000014865,3,0,0,0,0,0,0,0,0
100000014899,1,0,1,0,0,0,0,0,0
100000014949,2,1,0,6,2,2,1,0,0
100000014973,1,0,0,0,2,1,0,0,0
100000014981,1,0,0,0,2,1,0,0,0
100000015043,1,0,0,0,1,2,0,0,0
100000015129,0,0,0,0,2,4,0,0,0
100000015145,0,0,0,0,2,1,0,0,0
100000015153,1,0,0,0,0,0,0,0,0
100000015213,1,0,0,0,0,0,0,0,0
100000015223,1,0,0,0,3,4,0,0,0
100000015275,2,0,0,0,0,0,0,1,0
100000015433,1,0,0,0,1,1,0,0,0
100000015475,0,0,0,0,2,0,0,0,0
100000015747,1,1,0,0,1,0,0,0,0
100000015791,2,0,0,0,1,1,0,0,0
100000015969,1,0,0,0,3,2,0,0,0
100000016009,1,0,0,0,1,1,0,0,0
