100000000013,100000000695,100000000949,100000000975,100000008995,100000009611,100000013089,100000014271,100000018979,100000020459,100000021111,100000022571,110100014369,110100118669,110100218568,110100333868,110100473524,110100514164,110100516927,110100518665,110100618863,110100735566,110101118860,110101571523,110101612364,110101615925,110101973024,110102614369,110102714469,110102716828,110102771220
100000000111,100000001215,100000001557,100000001963,100000002111,100000002179,100000002307,100000003091,100000003611,100000004359,100000004453,100000004529,100000005091,100000005513,100000005649,100000005755,100000006005,100000006123,100000006397,100000006539,100000006569,100000006933,100000007073,100000007283,100000007329,100000007397,100000007457,100000007533,100000007639,100000007753,100000008481
100000000127,100000003875,110104216429,110104273627,110104712428,110105135566,110107473526,110141873422,110184673828,110702535263,110769312666,110811217475,110838974174,110910572771,110911917173,110936310876,110945271372,110946217972,111122948752,111128713311,111142646750,111143913713,111145013119,111150113219,111151513291,111154312659,111154346151,111154446151,111154548556,111154913317,111156280012
100000000231,100000002535,100000009743,100000015153,110020771524,110100373324,110100435463,110100516923,110100635169,110101073925,110101312427,110101612767,110102812428,110103310422,110103316029,110103416322,110103573723,110103712428,110103810425,110103918764,110104035165,110104418469,110105073125,110105173927,110105273120,110105318964,110105573723,110105773225,110105918862,110106835662,110106835863
100000000379,100000000867,100000010101,100000014311,100000018413,100000018629,100000018905,100000020995,100000021809,100000023563,110100016928,110100073025,110100116024,110100118265,110100171526,110100218869,110100233064,110100316920,110100416123,110100471223,110100471527,110100473324,110100473723,110100533768,110100571025,110100673622,110100733863,110100871523,110100935160,110100971227,110100973722
100000000393,100000004317,100000012931,100000020599,110100273825,110100335267,110100418369,110100518264,110100712727,110100935462,110101118767,110101210461,110101212568,110101212927,110101273028,110101273826,110101373824,110101435960,110101516321,110101612425,110101616522,110101635063,110102418265,110102435468,110102612327,110102718168,110102733061,110103014161,110103114566,110103335262,110103471227
100000000423,100000003685,100000007409,100000007785,100000010177,110100216329,110100218569,110100218662,110100335161,110100371520,110100971224,110101816829,110102173429,110102318762,110102518560,110102614268,110103116721,110103173124,110103335766,110103512423,110104433063,110104718768,110105135768,110105216428,110105318663,110105516325,110105571220,110105835168,110105835269,110105873027,110106035169
100000000459,100000001445,100000003097,100000006981,100000007955,100000008427,100000009463,100000013205,100000013499,100000014259,100000014383,100000016843,100000017177,100000017281,100000020301,100000023341,110020673328,110020773124,110101012725,110101016424,110101018269,110101018362,110101018862,110101073020,110101073129,110101210069,110101214466,110101216527,110101235966,110101273529,110101312828
100000000465,100000000745,100000001711,100000002055,100000002199,100000003067,100000003483,100000003891,100000004867,100000005055,100000006333,100000007609,100000008483,100000010239,100000010247,100000011131,100000011427,100000011591,100000011653,100000011845,100000012133,100000012219,100000014423,100000014745,100000015129,100000015433,100000017255,100000017367,100000017469,100000017691,100000018141
100000000471,110104618763,110165635565,110340773823,110385073721,110837110871,110872917478,111452313691,111803748357,111846646650,111858046452,112533769607,112668069607,114838267347,100000001601,100000011741,100000014899,110102912126,110107518068,110108233062,110108335867,110120014666,110120635765,110147516621,110164135163,110167435562,110168233860,110168535360,110168835566,110183016829,110183073129
