100000000013,1,79
100000000013,2,1
100000000013,3,4
100000000013,4,1
100000000013,5,32
100000000013,6,18
100000000013,7,1
100000000013,8,4
100000000013,9,3
100000000013,10,2
100000000111,1,1
100000000111,5,1
100000000111,6,1
100000000127,1,2
100000000127,5,2
100000000127,7,2
100000000231,1,15
100000000231,2,6
100000000231,3,2
100000000231,4,5
100000000231,5,10
100000000231,6,6
100000000379,1,42
100000000379,2,3
100000000379,3,7
100000000379,4,6
100000000379,5,14
100000000379,6,11
100000000379,7,1
100000000393,1,23
100000000393,3,1
100000000393,5,8
100000000393,6,3
100000000393,7,1
100000000393,8,1
100000000393,9,1
100000000393,10,1
100000000423,1,376
100000000423,2,25
100000000423,3,11
100000000423,4,15
100000000423,5,54
100000000423,6,14
100000000423,7,13
100000000423,8,153
100000000423,9,9
100000000459,1,17
100000000459,5,19
100000000459,6,30
100000000459,8,2
100000000459,9,3
100000000459,10,2
100000000465,1,20
100000000465,5,8
100000000465,6,6
100000000465,8,3
100000000465,9,3
100000000471,1,2
100000000471,3,3
100000000471,5,11
100000000471,6,5
100000000471,8,1
100000000637,1,14
100000000637,5,18
100000000637,6,9
100000000637,10,1
100000000695,1,4
100000000695,2,3
100000000695,3,1
100000000695,4,5
100000000695,5,10
100000000695,6,4
100000000695,7,2
100000000695,8,1
100000000695,9,1
100000000695,10,1
100000000745,1,23
100000000745,5,4
100000000745,6,3
100000000745,8,1
100000000745,9,1
100000000755,1,2
100000000755,5,3
100000000867,1,11
100000000867,2,7
100000000867,3,43
100000000867,4,14
100000000867,5,23
100000000867,6,3
100000000867,7,2
100000000949,1,13
100000000949,2,2
100000000949,3,1
100000000949,4,1
100000000949,5,11
100000000949,6,8
100000000949,7,4
100000000949,8,3
100000000949,9,3
100000000949,10,3
100000000975,1,17
100000000975,2,5
100000000975,3,3
100000000975,4,2
100000000975,5,18
100000000975,6,9
100000000975,7,1
100000000975,8,1
100000000975,9,1
100000000975,10,1
100000001023,1,188
100000001023,2,4
100000001023,3,5
100000001023,4,2
100000001023,5,112
100000001023,6,70
100000001023,7,6
100000001023,8,11
100000001023,9,3
100000001023,10,4
100000001023,11,2
100000001195,1,1
100000001195,5,2
100000001231,1,15
100000001231,5,16
100000001231,6,3
100000001231,8,1
100000001231,10,1
100000001295,1,12
100000001295,5,18
