userid,click1_rate,click2_rate,click3_rate,click4_rate,click5_rate,click6_rate,click7_rate,click8_rate,click9_rate
100000000013,0.5524475524475524,0.006993006993006993,0.027972027972027972,0.006993006993006993,0.22377622377622378,0.1258741258741259,0.006993006993006993,0.027972027972027972,0.02097902097902098
100000000111,0.3333333333333333,,,,0.3333333333333333,0.3333333333333333,,,
100000000127,0.3333333333333333,,,,0.3333333333333333,,0.3333333333333333,,
100000000231,0.3409090909090909,0.13636363636363635,0.045454545454545456,0.11363636363636363,0.22727272727272727,0.13636363636363635,,,
100000000379,0.5,0.03571428571428571,0.08333333333333333,0.07142857142857142,0.16666666666666666,0.13095238095238096,0.011904761904761904,,
100000000393,0.6052631578947368,,0.02631578947368421,,0.21052631578947367,0.07894736842105263,0.02631578947368421,0.02631578947368421,0.02631578947368421
100000000423,0.5611940298507463,0.03731343283582089,0.016417910447761194,0.022388059701492536,0.08059701492537313,0.020895522388059702,0.019402985074626865,0.22835820895522388,0.013432835820895522
100000000459,0.23943661971830985,,,,0.2676056338028169,0.4225352112676056,,0.028169014084507043,0.04225352112676056
100000000465,0.5,,,,0.2,0.15,,0.075,0.075
100000000471,0.09090909090909091,,0.13636363636363635,,0.5,0.22727272727272727,,0.045454545454545456,
100000000637,0.34146341463414637,,,,0.43902439024390244,0.21951219512195122,,,
100000000695,0.12903225806451613,0.0967741935483871,0.03225806451612903,0.16129032258064516,0.3225806451612903,0.12903225806451613,0.06451612903225806,0.03225806451612903,0.03225806451612903
100000000745,0.71875,,,,0.125,0.09375,,0.03125,0.03125
100000000755,0.4,,,,0.6,,,,
100000000867,0.10679611650485436,0.06796116504854369,0.4174757281553398,0.13592233009708737,0.22330097087378642,0.02912621359223301,0.019417475728155338,,
100000000949,0.2826086956521739,0.043478260869565216,0.021739130434782608,0.021739130434782608,0.2391304347826087,0.17391304347826086,0.08695652173913043,0.06521739130434782,0.06521739130434782
100000000975,0.2982456140350877,0.08771929824561403,0.05263157894736842,0.03508771929824561,0.3157894736842105,0.15789473684210525,0.017543859649122806,0.017543859649122806,0.017543859649122806
