userid,orderType
100000000371,0.0037660186644643545
100000001215,0.0005477261729538441
100000001445,0.0012265752302482724
100000001575,0.9991080164909363
100000001601,8.399011130677536e-05
100000001737,0.9998797178268433
100000001829,0.0001707664196146652
100000002055,0.00015984210767783225
100000002241,0.0014776214957237244
100000003067,0.0013936064206063747
100000004161,0.9998175501823425
100000004307,0.0028327128384262323
100000004855,0.9938077330589294
100000005055,1.3384187695919536e-05
100000005701,0.014490465633571148
100000006247,0.0007695936365053058
100000006327,0.1006234735250473
100000006333,0.00392003171145916
100000006397,0.0013189191231504083
100000007397,0.8711304068565369
100000007525,0.8758883476257324
100000007951,0.0028052455745637417
100000007955,0.16922655701637268
100000008131,0.0010772115783765912
100000008427,0.03640514239668846
100000008745,0.000802484224550426
100000009049,0.00855948030948639
100000009197,0.1561804711818695
100000009419,0.19280588626861572
100000009629,0.0018998384475708008
100000009961,0.9992572665214539
100000010157,0.9943894743919373
100000011403,0.0005618050345219672
100000012993,0.003828331595286727
100000013089,0.9314736127853394
100000013205,0.006494441535323858
100000013455,0.001830176915973425
100000013591,0.06518177688121796
100000013861,0.000632156734354794
100000014191,0.07258635759353638
100000014963,0.00576819060370326
100000015053,0.00016976147890090942
100000015077,0.9982826709747314
100000015351,0.64568692445755
100000015659,0.999701201915741
100000016411,0.0035765008069574833
100000016637,0.0010035989107564092
100000016665,0.00017870306328404695
100000016715,0.06819513440132141
100000016843,0.0026976484805345535
100000017191,0.017202535644173622
100000017255,0.00041783941560424864
100000017517,0.00015542723122052848
100000017533,0.01525104884058237
100000018131,0.9963600039482117
100000018141,0.011665445752441883
100000018219,0.00029197934782132506
100000018439,0.056200217455625534
100000018651,0.0005066907615400851
100000018843,0.09996586292982101
100000019085,0.015000501647591591
100000019503,0.003309599356725812
100000019777,0.00046887347707524896
100000019831,0.013522553257644176
100000019875,0.25254130363464355
100000020599,0.037081871181726456
100000020705,0.03586361184716225
100000020839,0.01767350547015667
100000021007,0.0025758419651538134
100000021741,0.00220762612298131
100000023031,0.10420458018779755
100000023341,0.002848997712135315
100000023847,0.00024372918414883316
110020671228,0.9990195035934448
110100014968,0.0065732733346521854
110100016420,0.06350568681955338
110100016422,0.0003723843256011605
110100018261,0.08906438946723938
110100035666,0.03171407803893089
110100073025,0.0005429358570836484
110100073927,0.9991088509559631
110100116029,0.0005735247978009284
110100133766,0.004524280782788992
110100171523,0.02241930179297924
110100173226,0.2010197639465332
110100218469,0.06610417366027832
110100235669,0.0013066062238067389
110100316927,0.002816735068336129
110100335267,0.00023985991720110178
110100371520,0.024727316573262215
110100373224,0.00017179564747493714
110100412425,0.00416471716016531
