,userid,orderType
0,100000000371,0.01352293197066629
1,100000001215,0.0012968197395095082
2,100000001445,0.0043845780380088045
3,100000001575,0.9926778781412287
4,100000001601,0.0020707248500532686
5,100000001737,0.9976432740688628
6,100000001829,0.004148420123382627
7,100000002055,0.001632493851358089
8,100000002241,0.004472246195655722
9,100000003067,0.002775003107964844
10,100000004161,0.9981089484690795
11,100000004307,0.004052414700852847
12,100000004855,0.9864495551585142
13,100000005055,0.0006369412735524764
14,100000005701,0.011898912582528927
15,100000006247,0.00817059081513627
16,100000006327,0.08965662434698514
17,100000006333,0.005447447018231938
18,100000006397,0.0025126585201352093
19,100000007397,0.2947482159731819
20,100000007525,0.5524519008396673
21,100000007951,0.015317926984277435
22,100000007955,0.0879093595592437
23,100000008131,0.0007638531166595886
24,100000008427,0.02900755774228328
25,100000008745,0.002829753900879807
26,100000009049,0.01074648063628704
27,100000009197,0.18838003516211327
28,100000009419,0.08624223783613824
29,100000009629,0.0009117025102024517
30,100000009961,0.9906106126307666
31,100000010157,0.8882670855520161
32,100000011403,0.0013060490763764274
33,100000012993,0.012716074287891756
34,100000013089,0.9304592013359589
35,100000013205,0.017631188291129217
36,100000013455,0.0029765422525797267
37,100000013591,0.03680735688654943
38,100000013861,0.0007364295795558906
39,100000014191,0.12848359487961747
40,100000014963,0.004341604462823539
41,100000015053,0.0034801048820369603
42,100000015077,0.9905433464051487
43,100000015351,0.6422769653798879
44,100000015659,0.9971821010111751
45,100000016411,0.006269465535879409
46,100000016637,0.0010381276626138113
47,100000016665,0.0009591521654522486
48,100000016715,0.12456532448515131
49,100000016843,0.004011930110863099
50,100000017191,0.023462646380054825
51,100000017255,0.0005816058232448629
52,100000017517,0.002732556816772207
53,100000017533,0.013426574394124854
54,100000018131,0.9787128710748306
55,100000018141,0.03389477392658185
56,100000018219,0.005831143944530563
57,100000018439,0.037633266560714626
58,100000018651,0.001962553155606892
59,100000018843,0.1484025398268671
60,100000019085,0.01559449162333946
61,100000019503,0.0055452705267809935
62,100000019777,0.0030298889195533906
63,100000019831,0.04940840467811155
64,100000019875,0.406321735084066
65,100000020599,0.11349065776929945
66,100000020705,0.09107390075931253
67,100000020839,0.04492659319191957
68,100000021007,0.008247220963240251
69,100000021741,0.005912686295336738
70,100000023031,0.07669341199085863
71,100000023341,0.005236680217786373
72,100000023847,0.0009118547488463814
73,110020671228,0.9543925523759721
74,110100014968,0.02954776501283987
75,110100016420,0.08077723789976524
76,110100016422,0.0005064695037435821
77,110100018261,0.11777705848218811
78,110100035666,0.06255808126162012
79,110100073025,0.019277560599152126
80,110100073927,0.9966967761518566
81,110100116029,0.0009483127755809616
82,110100133766,0.006597308507190131
83,110100171523,0.029908192940065196
84,110100173226,0.160074760317979
85,110100218469,0.06854625891879657
86,110100235669,0.002107813747133442
87,110100316927,0.003305770824662672
88,110100335267,0.002031961888425445
89,110100371520,0.04575505726040679
90,110100373224,0.0010439564468096357
91,110100412425,0.005937110455720783
92,110100418260,0.005030593753326571
93,110100418567,0.9028666925431893
94,110100471522,0.005142808393573556
95,110100471527,0.0076550751505376925
96,110100473324,0.07908795230083261
97,110100512827,0.029213821720321144
98,110100514267,0.00854285833424733
99,110100516521,0.005040677695081738
100,110100516723,0.044367381520549753
101,110100516929,0.9987090432642145
102,110100535662,0.1990197172760696
103,110100573222,0.771171399354964
104,110100573627,0.0011601655842961266
105,110100614362,0.02346385691315154
106,110100614562,0.9978935956955115
107,110100618862,0.005610023643821635
108,110100635761,0.009194095628348282
109,110100673622,0.40610904306166995
110,110100673828,0.012917905389335294
111,110100735369,0.2269028489289892
112,110100816922,0.001636101787444166
113,110100818367,0.17133030623188536
114,110100835466,0.05278370119632356
115,110100835868,0.056867548115555985
116,110100871522,0.8381147289275908
117,110100873722,0.1045587308702896
118,110100933760,0.7484224951266868
119,110100973525,0.006717303991317362
120,110101018063,0.022163536921156746
121,110101018362,0.003690938786603458
122,110101035263,0.0014412746089524163
123,110101071220,0.017024512123301264
124,110101071222,0.016360678114007474
125,110101071527,0.004924833435812782
126,110101073025,0.00814907288643963
127,110101073225,0.37781614303599653
